All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     assembly
# misassemblies              11      
  # contig misassemblies     11      
    # c. relocations         9       
    # c. translocations      0       
    # c. inversions          2       
  # scaffold misassemblies   0       
    # s. relocations         0       
    # s. translocations      0       
    # s. inversions          0       
# misassembled contigs       5       
Misassembled contigs length  1253321 
# local misassemblies        5       
# scaffold gap ext. mis.     0       
# scaffold gap loc. mis.     0       
# unaligned mis. contigs     0       
# mismatches                 175     
# indels                     3398    
    # indels (<= 5 bp)       3395    
    # indels (> 5 bp)        3       
Indels length                3550    
